*dataset: 
*dscomment: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct
*location : F 5
*reackey: P P --> CHARGED X : PB PB --> CHARGED X
*obskey: SPECTRA RATIOS
*qual: CENT : - : 0-5 pct : 5-10 pct : 10-20 pct : 20-30 pct : 30-40 pct : 40-50 pct : 50-60 pct : 60-70 pct : 70-80 pct : 
*qual: ETARAP :  -0.8 - 0.8
*qual: RE: P P --> CHARGED X : PB PB --> CHARGED X
*yheader: RATIO OF SPECTRA (5020 GEV / 2760 GEV)
*xheader: PT IN GEV
*data: x : y : y : y : y : y : y : y : y : y : y 
1.60  TO 1.80 ; 1.368684 +- 1.0337e-03 (DSYS=6.4709e-02); 1.355600 +- 4.2088e-04 (DSYS=4.2796e-02); 1.352322 +- 4.7807e-04 (DSYS=4.3162e-02); 1.358354 +- 3.8639e-04 (DSYS=4.2497e-02); 1.373726 +- 4.7543e-04 (DSYS=4.2487e-02); 1.389283 +- 5.9928e-04 (DSYS=4.2520e-02); 1.406946 +- 7.6789e-04 (DSYS=4.4689e-02); 1.429475 +- 1.0507e-03 (DSYS=4.1416e-02); 1.452041 +- 1.5280e-03 (DSYS=4.3313e-02); 1.478078 +- 2.3789e-03 (DSYS=4.3591e-02);
1.80  TO 2.00 ; 1.403640 +- 1.2824e-03 (DSYS=6.6850e-02); 1.384352 +- 5.0803e-04 (DSYS=4.6317e-02); 1.383893 +- 5.7852e-04 (DSYS=4.5840e-02); 1.388573 +- 4.6610e-04 (DSYS=4.5703e-02); 1.402789 +- 5.7438e-04 (DSYS=4.9544e-02); 1.419397 +- 7.2400e-04 (DSYS=4.5692e-02); 1.436692 +- 9.3591e-04 (DSYS=4.7056e-02); 1.456632 +- 1.2761e-03 (DSYS=4.3926e-02); 1.480810 +- 1.8718e-03 (DSYS=4.6954e-02); 1.519367 +- 2.9475e-03 (DSYS=4.7610e-02);
2.00  TO 2.20 ; 1.432664 +- 1.5763e-03 (DSYS=7.0439e-02); 1.418049 +- 6.7909e-04 (DSYS=4.9901e-02); 1.417726 +- 7.8488e-04 (DSYS=4.9714e-02); 1.421650 +- 6.3010e-04 (DSYS=4.7577e-02); 1.434150 +- 7.6990e-04 (DSYS=5.0352e-02); 1.447866 +- 9.6638e-04 (DSYS=4.5879e-02); 1.463060 +- 1.2222e-03 (DSYS=4.8735e-02); 1.485086 +- 1.6556e-03 (DSYS=4.5384e-02); 1.509287 +- 2.4154e-03 (DSYS=4.7734e-02); 1.540422 +- 3.7376e-03 (DSYS=4.8495e-02);
2.20  TO 2.40 ; 1.456742 +- 1.9096e-03 (DSYS=6.8901e-02); 1.450291 +- 8.1791e-04 (DSYS=5.1194e-02); 1.446660 +- 9.3417e-04 (DSYS=5.1795e-02); 1.450039 +- 7.5135e-04 (DSYS=4.9535e-02); 1.463463 +- 9.2337e-04 (DSYS=5.1370e-02); 1.477021 +- 1.1603e-03 (DSYS=4.8766e-02); 1.495871 +- 1.4821e-03 (DSYS=4.9860e-02); 1.513958 +- 1.9989e-03 (DSYS=4.5707e-02); 1.535427 +- 2.8850e-03 (DSYS=4.7874e-02); 1.570004 +- 4.5409e-03 (DSYS=4.9036e-02);
2.40  TO 2.60 ; 1.480771 +- 2.2973e-03 (DSYS=6.6292e-02); 1.483072 +- 9.8674e-04 (DSYS=5.3248e-02); 1.480021 +- 1.1313e-03 (DSYS=5.1842e-02); 1.478391 +- 8.9852e-04 (DSYS=5.0250e-02); 1.490982 +- 1.1037e-03 (DSYS=5.1515e-02); 1.499811 +- 1.3788e-03 (DSYS=4.8113e-02); 1.517330 +- 1.7535e-03 (DSYS=5.0352e-02); 1.533596 +- 2.3814e-03 (DSYS=4.5770e-02); 1.552909 +- 3.4446e-03 (DSYS=4.6651e-02); 1.588550 +- 5.4290e-03 (DSYS=4.7145e-02);
2.60  TO 2.80 ; 1.518174 +- 2.7761e-03 (DSYS=6.6241e-02); 1.514100 +- 1.1899e-03 (DSYS=5.7054e-02); 1.512709 +- 1.3455e-03 (DSYS=5.5605e-02); 1.506927 +- 1.0780e-03 (DSYS=5.2512e-02); 1.519019 +- 1.3149e-03 (DSYS=5.4856e-02); 1.526797 +- 1.6409e-03 (DSYS=4.9191e-02); 1.545256 +- 2.1074e-03 (DSYS=5.2925e-02); 1.555686 +- 2.8231e-03 (DSYS=4.7664e-02); 1.569912 +- 4.0716e-03 (DSYS=4.8398e-02); 1.597395 +- 6.3119e-03 (DSYS=4.8895e-02);
2.80  TO 3.00 ; 1.535348 +- 3.2808e-03 (DSYS=6.7021e-02); 1.546147 +- 1.4276e-03 (DSYS=5.6277e-02); 1.535768 +- 1.6066e-03 (DSYS=5.8356e-02); 1.539904 +- 1.2843e-03 (DSYS=5.5819e-02); 1.549107 +- 1.5710e-03 (DSYS=5.3022e-02); 1.558786 +- 1.9641e-03 (DSYS=5.1590e-02); 1.567293 +- 2.4994e-03 (DSYS=5.6784e-02); 1.582358 +- 3.4032e-03 (DSYS=4.9046e-02); 1.599099 +- 4.8641e-03 (DSYS=4.8545e-02); 1.609609 +- 7.4697e-03 (DSYS=4.9679e-02);
3.00  TO 3.20 ; 1.561505 +- 3.8791e-03 (DSYS=7.2201e-02); 1.577247 +- 1.7324e-03 (DSYS=5.9839e-02); 1.563296 +- 1.9167e-03 (DSYS=5.6964e-02); 1.566699 +- 1.5331e-03 (DSYS=5.5579e-02); 1.576012 +- 1.8701e-03 (DSYS=5.3819e-02); 1.575716 +- 2.3210e-03 (DSYS=5.2017e-02); 1.587252 +- 2.9418e-03 (DSYS=5.3647e-02); 1.605886 +- 4.0269e-03 (DSYS=5.1802e-02); 1.616403 +- 5.6945e-03 (DSYS=4.7504e-02); 1.653182 +- 8.8165e-03 (DSYS=4.7660e-02);
3.20  TO 3.60 ; 1.587244 +- 3.4296e-03 (DSYS=7.0342e-02); 1.617357 +- 1.5497e-03 (DSYS=6.3412e-02); 1.604729 +- 1.6855e-03 (DSYS=6.0639e-02); 1.603302 +- 1.3430e-03 (DSYS=5.7420e-02); 1.600882 +- 1.6107e-03 (DSYS=5.5098e-02); 1.608866 +- 1.9945e-03 (DSYS=5.3593e-02); 1.613169 +- 2.5490e-03 (DSYS=5.4908e-02); 1.624028 +- 3.4278e-03 (DSYS=5.2588e-02); 1.646050 +- 4.8986e-03 (DSYS=4.9013e-02); 1.686660 +- 7.5512e-03 (DSYS=4.9700e-02);
3.60  TO 4.00 ; 1.645064 +- 4.6466e-03 (DSYS=7.7231e-02); 1.661304 +- 2.2384e-03 (DSYS=6.4449e-02); 1.647563 +- 2.4066e-03 (DSYS=6.2395e-02); 1.641022 +- 1.8991e-03 (DSYS=5.9126e-02); 1.643312 +- 2.2594e-03 (DSYS=5.6683e-02); 1.640879 +- 2.7576e-03 (DSYS=5.4929e-02); 1.647103 +- 3.4905e-03 (DSYS=5.4648e-02); 1.660188 +- 4.6617e-03 (DSYS=5.2128e-02); 1.675919 +- 6.5668e-03 (DSYS=4.8937e-02); 1.721024 +- 1.0144e-02 (DSYS=4.9847e-02);
